Date/Time,OA_DB,Site Horizontal Infrared Radiation Rate per Area,Site Diffuse Solar Radiation Rate per Area,Site Direct Solar Radiation Rate per Area,Electric Equipment Electricity Rate,People Occupant Count,Site Outdoor Air Wetbulb Temperature,Site Outdoor Air Humidity Ratio
 01/06  15:00:00,-11.7,215.875,114.875,91.125,0,0,-13.29170336,0.000640107
 01/06  16:00:00,-12.2,206.625,68.8125,80.8125,0,0,-13.6197035,0.000664474
 01/06  17:00:00,-14.4,195.25,7.5,14.8125,0,0,-15.43729142,0.000619315
 01/06  18:00:00,-15.6,187.5,0,0,0,0,-16.54653208,0.000553789
 01/06  19:00:00,-17.2,179.125,0,0,0,0,-17.99649691,0.000493694
 01/06  20:00:00,-17.2,174.375,0,0,0,0,-18.05444861,0.000468104
 01/06  21:00:00,-18.9,170.875,0,0,0,0,-19.59403003,0.000419954
 01/06  22:00:00,-18.3,170.25,0,0,0,0,-19.08172152,0.000421539
 01/06  23:00:00,-17.8,171.625,0,0,0,0,-18.7062046,0.000402064
 01/06  24:00:00,-18.9,169.5,0,0,0,0,-19.69413289,0.000376095
 01/07  01:00:00,-18.9,168,0,0,0,0,-19.7281167,0.000361895
 01/07  02:00:00,-19.4,167.375,0,0,0,0,-20.16144075,0.000358224
 01/07  03:00:00,-20,165.75,0,0,0,0,-20.67733822,0.000357015
 01/07  04:00:00,-20.6,163.75,0,0,0,0,-21.21408014,0.000348677
 01/07  05:00:00,-21.1,165.5,0,0,0,0,-21.64636855,0.000349418
 01/07  06:00:00,-22.2,163.875,0,0,0,0,-22.69655661,0.000313645
 01/07  07:00:00,-22.8,158.875,0,0,0,0,-23.23446795,0.000309989
 01/07  08:00:00,-21.7,158.875,13.125,221.8125,0,0,-22.2180755,0.000328991
 01/07  09:00:00,-18.3,166.25,32.3125,628.1875,0,0,-19.12906962,0.000395396
 01/07  10:00:00,-16.1,174.375,44.875,803.6875,0,0,-17.17205338,0.00044945
 01/07  11:00:00,-14.4,180.125,53.1875,878.1875,0,0,-15.76496765,0.000461095
 01/07  12:00:00,-14.4,182,56.75,899.4375,0,0,-15.76496765,0.000461095
 01/07  13:00:00,-13.3,183.875,56.0625,894.25,0,0,-14.83396369,0.000486197
 01/07  14:00:00,-12.8,186.25,50.4375,855.75,0,0,-14.39107073,0.000508819
 01/07  15:00:00,-13.3,185.75,40.375,757.25,0,0,-14.83396369,0.000486197
 01/07  16:00:00,-13.9,184.375,27.1875,524.1875,0,0,-15.26558122,0.00050471
 01/07  17:00:00,-16.1,179.625,6.6875,100.75,0,0,-17.17031823,0.000448563
 01/07  18:00:00,-16.7,175.75,0,0,0,0,-17.68088717,0.000441454
 01/07  19:00:00,-18.3,172.5,0,0,0,0,-19.07392551,0.000416557
 01/07  20:00:00,-18.3,171,0,0,0,0,-19.07328268,0.000416147
 01/07  21:00:00,-19.4,168.5,0,0,0,0,-20.05822357,0.00039488
 01/07  22:00:00,-20,166.375,0,0,0,0,-20.57968323,0.000391406
 01/07  23:00:00,-19.4,166.625,0,0,0,0,-20.10601634,0.00037442
 01/07  24:00:00,-20,165.75,0,0,0,0,-20.64149411,0.000366499
 01/08  01:00:00,-21.1,163.75,0,0,0,0,-21.60075646,0.000363727
 01/08  02:00:00,-21.1,163,0,0,0,0,-21.60118567,0.000364086
 01/08  03:00:00,-21.1,163,0,0,0,0,-21.60075646,0.000363727
 01/08  04:00:00,-21.1,165.5,0,0,0,0,-21.64215595,0.000346327
 01/08  05:00:00,-21.7,165.125,0,0,0,0,-22.17523005,0.000342805
 01/08  06:00:00,-21.7,162.125,0,0,0,0,-22.12229933,0.000364243
 01/08  07:00:00,-21.7,161,0,0,0,0,-22.17523005,0.000342805
 01/08  08:00:00,-21.1,162.25,13.875,218.4375,0,0,-21.60075646,0.000363727
 01/08  09:00:00,-17.2,170.5,36.875,596,0,0,-17.92824921,0.000510657
 01/08  10:00:00,-14.4,182.5,66.5,652.75,0,0,-15.54366122,0.000555497
